User,date,review,rating
t*****o,"2023-11-21 18:16 | Phân loại hàng: Kem,M","2023-11-21 18:16 | Phân loại hàng: Kem,M",4 Sao (440)
d*****4,"2024-03-04 22:34 | Phân loại hàng: Kem,L","2024-03-04 22:34 | Phân loại hàng: Kem,L",4 Sao (440)
t*****5,"2023-06-27 17:55 | Phân loại hàng: Trắng,L","2023-06-27 17:55 | Phân loại hàng: Trắng,L",4 Sao (440)
x*****q,"2023-07-20 13:25 | Phân loại hàng: Green trendy,M","2023-07-20 13:25 | Phân loại hàng: Green trendy,M",4 Sao (440)
phanthigiahannangu,"2024-01-17 11:18 | Phân loại hàng: Kem,L","+ điểm gói hàng ( có giấy thơm , mở ra thơm nức mũi , xếp áo đẹp, gọn gàng 😉) màu kem kh dầy k mỏng , áo from chữ đẹp màu hồng , sau lưng là (#) quá dthuong 🖤",4 Sao (440)
bong_s1,"2024-04-09 10:11 | Phân loại hàng: Kem,M","Màu sắc: be kemĐúng với mô tả: có( hình ảnh và video chỉ mang tính chất nhận xu)
Áo xinh mà vải dày dặn lắmmm",4 Sao (440)
trbaongocc142,"2023-05-06 18:35 | Phân loại hàng: Trắng,L","Đúng với mô tả: đúng áo đẹp nma size L rất là to luôn cho người 70kg mặc còn vừa 😂Màu sắc: trắngnên mua hàng oke la nói chung là tuyệt vời , hình ảnh chỉ mang tc minh hoa",4 Sao (440)
3w56ps6qgi,"2023-03-31 12:49 | Phân loại hàng: Đen,M",Màu sắc: đenChất liệu: howi cottonĐúng với mô tả: cx đc dungshình in ko đc đẹp lắm với no to hơn mẫu nhiều 🥲🥲 nhìn k thích lắm🥹🫰,4 Sao (440)
tlin1206,"2023-11-22 12:33 | Phân loại hàng: Đen,XL","Chất liệu: đẹpĐúng với mô tả: đúngMàu sắc: ddenSản phẩm tốt , như hình , vải đẹp , đáng mua",4 Sao (440)
k*****y,"2023-06-21 20:14 | Phân loại hàng: Green trendy,L","2023-06-21 20:14 | Phân loại hàng: Green trendy,L",4 Sao (440)
x14xjouh0x,"2023-10-16 13:16 | Phân loại hàng: Trắng,L","Chất liệu: ko rõMàu sắc: trắngĐúng với mô tả: đúngÁo đẹp ban đầu mình tưởng giao lộn size nhưng hóa ra from áo là from rộng chứ k phải vừa ng mình
Hình ảnh chỉ mang tính chất nhận xu!!",4 Sao (440)
m*****3,"2023-03-02 12:06 | Phân loại hàng: Kem,M","2023-03-02 12:06 | Phân loại hàng: Kem,M",4 Sao (440)
jvjzwqytey,"2023-07-13 14:22 | Phân loại hàng: Kem,L","Chất liệu: vảiMàu sắc: be sữaĐúng với mô tả: đúnggiao hàng nhanh 
thơm
đóng gói kĩ 
chất lượng cao 
nahhsnrgdhksns",4 Sao (440)
vtriu057,"2023-01-16 10:51 | Phân loại hàng: Đen,M","Vải đẹp, mặc lên from ok, nếu mấy cái hình đuợc thêu vào áo thì đẹp hơn nữa. Nói chung giá 139k mà áo vậy là quá tuyệt rồi",4 Sao (440)
dieuchi,"2024-04-07 10:14 | Phân loại hàng: Đen,M","Màu sắc: đenVải mềm, nhưng kiểu in cũng ở mức ổn thôi, nói chung phù hợp giá tiền",4 Sao (440)
loanhoang19871010,"2024-04-16 13:25 | Phân loại hàng: Kem,L","Đúng với mô tả: TốtChất liệu: Vải mátMàu sắc: Kem L*ĐÁNH GIÁ VỚI TƯ CÁCH LÀ MỘT NGƯỜI MUA 
- Khi nhận hàng mình cảm thấy khá nhẹ tay 
Chất vải mát và mịn , hình in đẹp . Nhưng màu kem và màu của hình in ở ngoài theo mình là không đẹp như hình . Mình m6 44kg chọn size L chiều dài chùm qua mông nhưng hơi rộng . Tag áo ổn 
-Tóm lại với giá 139k cho 1 chiếc áo local brand như vậy rất xứng đáng 4☆ ạ .",4 Sao (440)
