ID,User,date,review,rating,type,sentiment
6,.*****1,"2024-04-17 22:14 | Phân loại hàng: Quần Jean,S",,,normal,
17,...2xmun,"2023-04-23 10:41 | Phân loại hàng: Đen,S","Sản phẩm tốt, giao hàng nhanh chóng, đẹp, không bị móp méo, chất lượng bền",,normal,"{'positive':100%,'negative':0%}"
11,0*****h,"2024-04-13 14:23 | Phân loại hàng: Xanh Rêu Trơn,S",,,normal,
18,0kifocovh5,"2024-05-11 23:01 | Phân loại hàng: Hoa cúc,S",Màu sắc: white with a little blueĐúng với mô tả: như hìnhChất liệu: vải sợi mềm co dãnÁo xinh nắm ôm dáng hack eo nha cute phô mai que lun hợp với phong cách soft girl,,normal,"{'positive':100%,'negative':0%}"
11,0u45tqg_1q,"2024-04-13 11:10 | Phân loại hàng: Xanh Ombre,L",Màu sắc: :))Đúng với mô tả: ko btChất liệu: cx OkeỜ,,normal,"{'positive':90%,'negative':10%}"
6,1*****b,"2024-07-06 15:46 | Phân loại hàng: Quần Jean,S",Quần k giống mẫu được cái mặc vừa,,normal,"{'positive':0%,'negative':100%}"
5,18dsw21jzf,"2022-01-18 21:22 | Phân loại hàng: Đen,XL",Quần khá oke so với giá 🥰,,normal,"{'positive':75%,'negative':25%}"
11,1quocthinh1,2023-01-21 01:10 | Phân loại hàng: Nâu Rêu - XS,,,normal,
11,2*****y,2022-09-21 02:42 | Phân loại hàng: M,,,normal,
11,22_cici,2022-12-26 18:34 | Phân loại hàng: Nâu Rêu - L,"Chất liệu: ko bieestMàu sắc: nâu rêuĐúng với mô tả: đúngggg1000000d. 1m58 53cân, mặc ko quá dài, mang giỳ vào là ok lun. Rộng đẹppppppppppp",,normal,"{'positive':90%,'negative':10%}"
18,22_cici,"2022-12-26 18:34 | Phân loại hàng: 10,M","Chất liệu: thunMàu sắc: kemĐúng với mô tả: đúngMá ơi đẹp, ôm người, xuất sắc lun đó tr ơiiiii 10d 1000d. Nênn mua nha mn",,normal,"{'positive':95%,'negative':5%}"
13,24phuongle,"2023-11-14 19:19 | Phân loại hàng: 5,L","đẹp, co dãn tốt, giao nhanh ms đặt hqa thì ngày hôm sau của hôm sau đã có hàng",,normal,"{'positive':100%,'negative':0%}"
13,26inq81nq7,"2022-10-31 00:20 | Phân loại hàng: 1,S",T,,normal,"{'positive':80%,'negative':20%}"
16,2gl.vn,"2024-03-26 15:57 | Phân loại hàng: Full Set,S",,,normal,
13,2iqa7kj3tt,"2023-12-29 13:08 | Phân loại hàng: 2,M",Nên mua nhaaa,,normal,"{'positive':90%,'negative':0%}"
11,2v4u0a9n2h0t0h5u,2023-01-10 21:21 | Phân loại hàng: Nâu Rêu - XL,"Chất liệu: kakiMàu sắc: nâu rêuĐúng với mô tả: đúngHàng đóng gói cẩn thận, chắc chắn ạ, đẹp. Lần sau lại uh shop ạ😍",,normal,"{'positive':100%,'negative':0%}"
6,3sbbe22yzs,"2024-07-15 19:56 | Phân loại hàng: Quần Jean,S",,,normal,
2,4w5vt803q9,"2024-07-16 00:03 | Phân loại hàng: Xanh,XL",Màu sắc: xanhĐúng với mô tả: cóoooohình ảnh chỉ mang tính chất nhận xuuuuuuuuuuuuu,,normal,"{'positive':60%,'negative':40%}"
4,4w5vt803q9,"2024-07-16 00:03 | Phân loại hàng: Chun buộc tóc,XL",Đúng với mô tả: yéMàu sắc: xanhhình ảnh chỉ mang tính chất nhận xuuuuuuuuuu,,normal,"{'positive':0%,'negative':100%}"
2,57_ubzsei0,"2024-08-05 08:24 | Phân loại hàng: Áo Trễ Vai Đen,M",Giao hàng nhanh đóng gói cẩn thận chất vải siêu mịn siêu mát luôn,,normal,"{'positive':100%,'negative':0%}"
17,5blfsmufep,"2023-08-09 20:42 | Phân loại hàng: Đen,L",Màu sắc: ddenChất liệu: trắngĐúng với mô tả: đungsOk lắm cả nhà ơi mua ủng hộ nghen chất lượng tuyệt vời xứng đáng 5 sao nhé mọi người thêm giỏ hàng thôi,,normal,"{'positive':100%,'negative':0%}"
17,5jhnuse5sd,"2023-01-17 11:38 | Phân loại hàng: Đen,M",san pham chat luon ok 👍 i’m going to get a new one now and then i’ll,,normal,"{'positive':60%,'negative':40%}"
4,5umiig6o5h,"2024-05-30 15:10 | Phân loại hàng: Chun buộc tóc,S","Đúng với mô tả: dungMàu sắc: rụbdChất liệu: dgejjsSử dụng biểu tượng chỉnh sửa để ghim, thêm hoặc xóa đoạn.",,normal,"{'positive':0%,'negative':100%}"
16,5v3xvn_s0k,"2024-04-09 10:41 | Phân loại hàng: Quần Ribbon Xám,M",Hàng chất lượng tốt. Người bán hàng chuyên nghiệp và rất hiểu biết về sản phẩm trên cửa hàng. 10 sao!,,normal,"{'positive':100%,'negative':0%}"
13,5vzbycd_h4,"2024-04-20 18:26 | Phân loại hàng: 3,L","Đúng với mô tả: đúngChất liệu: mỏngMàu sắc: đúngvải tay áo khác với thân áo, tay áo mỏng, bo cổ bị xù nhẹ, chất với giá này thì hơi cao á nó giống áo cỡ 70 80k nói chung ngoài vải tay mỏng thì mặc xinh",,normal,"{'positive':40%,'negative':60%}"
20,6iuijf20sw,"2022-01-12 15:49 | Phân loại hàng: Đen,S",Chất lượng tuyệt vời,,normal,"{'positive':100%,'negative':0%}"
16,9hg7avv2w8,"2024-07-06 14:58 | Phân loại hàng: Quần Ribbon Xám,M",,,normal,
11,9jkib0cbpt,2022-08-30 19:48 | Phân loại hàng: M,"shop nhiệt tình, hỗ trợ mình đổi size nma mình ko vừa rùi :Đ ai có nhu cầu mình pass lại quần này màu đen size L nhé giá 200 lh zalo mình 0978410640 để dễ trao đổi hơn nha, mình cũng bán đồ nên bạn ib mình để tư vấn chất liệu, size đỡ nhầm nhé",,normal,"{'positive':80%,'negative':20%}"
17,9opwrzr_ti,"2022-11-15 12:10 | Phân loại hàng: Đen,XL",Chất liệu: bthgMàu sắc: đenĐúng với mô tả: sắp đúngOk,,normal,"{'positive':60%,'negative':40%}"
6,Người dùng Shopee,"2022-10-23 11:03 | Phân loại hàng: Trắng,L",,,bot,
11,Người dùng Shopee,2022-12-04 05:35 | Phân loại hàng: Đen - XL,Mình cao m71 65kg mặc xl siêu vừa nhé ôm mông mà rộng ống dáng rất ok,,bot,"{'positive':100%,'negative':0%}"
11,Người dùng Shopee,2022-12-09 00:10 | Phân loại hàng: Nâu Rêu - XL,"Chất liệu: vải mềmMàu sắc: nâu rêuĐúng với mô tả: đúng mô tảLần đầu mua quần mà ưng bụng vậy luôn á, fom đẹp chuẩn nữa",,bot,"{'positive':90%,'negative':10%}"
11,Người dùng Shopee,2023-01-10 11:42 | Phân loại hàng: Nâu Rêu - L,Chất liệu: kaki xịnMàu sắc: nâu rêuĐúng với mô tả: dẹp hơn ảnhrất đẹp nha so với giá không đắt ạ đáng dể mua ạ tư vấn nhiệt tình thân thiện sẽ mua thêm nhiều đồ nữa ạ thank shop :>,,bot,"{'positive':95%,'negative':0%}"
11,Người dùng Shopee,2023-03-24 23:06 | Phân loại hàng: Xanh Rêu - XL,Chất liệu: kakiMàu sắc: xanh rêuĐúng với mô tả: đúngTuyệt vời,,bot,"{'positive':100%,'negative':0%}"
15,Người dùng Shopee,2020-12-14 21:37 | Phân loại hàng: Size M,,,bot,
20,Người dùng Shopee,"2019-07-06 13:28 | Phân loại hàng: Đen,S","Sản phẩm rất đẹp. Chất mát, dáng đẹp. Mình ưng quá trời quá đất luôn.",,bot,"{'positive':100%,'negative':0%}"
20,Người dùng Shopee,"2019-10-03 15:17 | Phân loại hàng: Đen,XS",Pass quần size xs do nhỏ mặc không vừa ạ,,bot,"{'positive':0%,'negative':100%}"
20,Người dùng Shopee,"2020-08-10 11:10 | Phân loại hàng: Đen,S",Quần mặc đúng dáng mà vải bóng như quần cũ ko mặc ra ngoài đc,,bot,"{'positive':30%,'negative':70%}"
20,Người dùng Shopee,"2020-09-27 12:11 | Phân loại hàng: Đen,L",Quần from đẹp tôn eo lắm ạ Mỗi tội vải quần mỏng nhưng vẫn cho 5 sao ạ Shop chiều khách và hỗ trợ khách tốt ạ,,bot,"{'positive':90%,'negative':10%}"
20,Người dùng Shopee,"2021-01-16 22:08 | Phân loại hàng: Đen,S","Sản phẩm bên shop rất ok ạ, quần đúng đẹp luôn á, sẽ ủng hộ tiếp shop lần sau ạ",,bot,"{'positive':100%,'negative':0%}"
11,_*****5,2023-03-05 10:22 | Phân loại hàng: Xanh Rêu - XL,,,normal,
18,_*****6,"2024-04-16 23:52 | Phân loại hàng: Hình 8,M",,,normal,
17,_*****7,"2022-12-25 15:36 | Phân loại hàng: Đen,L",,,normal,
5,_*****_,"2023-06-11 00:58 | Phân loại hàng: XANH,L",,,normal,
8,_*****_,"2023-07-14 01:46 | Phân loại hàng: Quà tặng,M",,,normal,
13,_*****_,"2023-07-14 01:46 | Phân loại hàng: 12,M",,,normal,
17,_*****_,"2022-11-29 11:15 | Phân loại hàng: Đen,S",,,normal,
16,_.lalisamonoban._,"2024-03-30 11:29 | Phân loại hàng: Full Set,XL",Màu áo với quần khác quá,,normal,"{'positive':0%,'negative':100%}"
10,_.marcey._,"2023-06-13 13:51 | Phân loại hàng: ÁO CROPTOP HOA,L","Màu sắc: giống ảnhChất liệu: voan lụaÁo xinh, lớp vải lót ở trong khá dày dặn nma mặc ko bị nóng, đặt rộng ra 1 size là vừa in, shop nhắn tin xác nhận trc rồi mới gửi hàng đi rất chu đáo nhe mà ship cũng nhanh nữa, từ tp Hồ Chí Minh ra đến Hà Nội tầm 3-4 hôm là đến nơi rồi",,normal,"{'positive':100%,'negative':0%}"
20,_.thhang_06,"2021-03-11 11:33 | Phân loại hàng: Đen,M",Quần đẹp Vải ok Giao nhanh cực Giá ổn Tư vấn nhiệt tình Đóng gói ok,,normal,"{'positive':100%,'negative':0%}"
11,_214lanhong,2022-12-12 09:28 | Phân loại hàng: Đen - S,Màu sắc: đen và rêuĐúng với mô tả: đúngGiao hàng nhanh... đóng gói cẩn thận.. chất vải dày dặn đẹp khỏi phải bàn.. lên dáng chuẩn ..rất ok.. mọi người nên mua hàng,,normal,"{'positive':100%,'negative':0%}"
10,_dtnhw.293,"2023-12-24 11:28 | Phân loại hàng: QUẦN JEAN NHÚNG,M","quần đẹp, chuẩn form mà m66 mang bị ngắn, pass 200 cho b nào cần. ib zalo: 0914146343",,normal,"{'positive':20%,'negative':80%}"
16,_phuong21567,"2024-04-10 19:49 | Phân loại hàng: Quần Ribbon Xám,M",,,normal,
4,_ranqb65d1,"2024-01-21 18:38 | Phân loại hàng: Chun buộc tóc,S",Lên form bao xấu. Mặc vô mất cái thắt eo luôn! Nó suông đuộc như cái thun phi dị đó:)),,normal,"{'positive':0%,'negative':100%}"
15,_sisimato99,2018-07-21 08:57 | Phân loại hàng: Size L,Chất lượng sản phẩm tuyệt vời,,normal,"{'positive':100%,'negative':0%}"
17,a*****0,"2024-06-03 20:14 | Phân loại hàng: Xám,S",,,normal,
11,a*****1,2022-12-22 17:47 | Phân loại hàng: Nâu Rêu - XS,,,normal,
13,a*****7,"2023-01-11 14:59 | Phân loại hàng: 6,M",,,normal,
16,a*****8,"2024-06-07 14:53 | Phân loại hàng: Quần Ribbon Xám,M",,,normal,
17,a*****9,"2022-11-28 13:31 | Phân loại hàng: Xanh Rêu,S",,,normal,
19,a*****_,"2023-10-16 17:12 | Phân loại hàng: Đen Dây Rút,S",,,normal,
17,a*****e,"2023-01-17 23:43 | Phân loại hàng: Đen,M",,,normal,
16,aassdddfffhhh,"2024-05-13 13:35 | Phân loại hàng: Quà Tặng,L",,,normal,
18,aassdddfffhhh,"2024-05-13 13:35 | Phân loại hàng: Cali Xám,M",,,normal,
10,admondaddy,"2024-06-06 09:32 | Phân loại hàng: QUẦN JEAN NHÚNG,L","Màu sắc: màu đẹp, giống 80% trên ảnh thuiĐúng với mô tả: .Chất liệu: jean mà mềm lắm cầm nặng tayEo 71 bóp cỡ 2 phân mặc vừa phần eo phần thân mình muốn nó xoè hơn xíu nma nchung rộng đẹp, giao hàng nhanh",,normal,"{'positive':90%,'negative':10%}"
13,alicelinhhan,"2023-02-09 01:36 | Phân loại hàng: 1,M",Vải này không xứng đáng với mức giá đó,,normal,"{'positive':0%,'negative':100%}"
4,an_130694,"2024-07-06 12:51 | Phân loại hàng: Xám Đen,S","Đúng với mô tả: ĐúngMàu sắc: đenChất liệu: vải mátMặc vào ôm dáng nhìn cao hơn hẳn. Ống quần hơi dài , mang giày cao gót vừa đẹp",,normal,"{'positive':80%,'negative':20%}"
8,angeliaha2,"2023-08-02 14:42 | Phân loại hàng: Đen,M",,,normal,
12,anh_036,"2023-06-13 14:15 | Phân loại hàng: 7,S","Đúng với mô tả: đúmMàu sắc: đúmChất liệu: jeans hay denim nhỉmũm mỉm tí mặc đẹp hơn, mình cỡ 45kg m60 gầy quá mặc k xinh, kiểu đùi to to tí xinh hơn",,normal,"{'positive':80%,'negative':20%}"
10,anhdang3110,"2023-07-05 08:27 | Phân loại hàng: QUẦN JEAN NHÚNG,S",Lúc mà mình đặt size S quần vừa eo nhưng chật mông nên phải đổi lại size M rồi chỉnh lại eo nhưng nhờ đổi qua size M nên cái ống quần rộng hơn lên form nhìn đẹp hơn í,,normal,"{'positive':70%,'negative':30%}"
