User,rating,date,review
hanhueidn688,4 Sao (8),"2023-10-09 10:45 | Phân loại hàng: Xám Đen,M","hanhueidn6882023-10-09 10:45 | Phân loại hàng: Xám Đen,Mchất liệu hơi mỏng cảm giác 300k không giống hình lắm nhưng from cũng xinh ạ, mình nghĩ giá tầm 250k  oke hơn 
mình mới mặc 1 lần pass 180k bạn nào cần liên hệ zl 0567691479 nha 0:20 12báo cáo"
t*****5,4 Sao (8),"2024-05-24 11:55 | Phân loại hàng: Xám Đen,S","t*****52024-05-24 11:55 | Phân loại hàng: Xám Đen,S1m53 mặc hơi rộng xíu nhưng vẫn ok
Có điều bạn mh mua ở đây từ trước chất quần khác
Dáng cũng đẹp sx hơn giờ mh mua k đẹp bằng 
Chắc shop lấy hàng đợt này may khác   1báo cáo"
r*****6,4 Sao (8),"2023-11-18 20:20 | Phân loại hàng: Xám Đen,M","r*****62023-11-18 20:20 | Phân loại hàng: Xám Đen,MQuần 1 lớp, quá rộng nên mình muốn pass em quần này bạn nào cần thì nhắn mình nhé.2báo cáo"
ngthtthuy,4 Sao (8),"2024-06-10 22:50 | Phân loại hàng: Chun buộc tóc,S","ngthtthuy2024-06-10 22:50 | Phân loại hàng: Chun buộc tóc,Shữu ích?báo cáo"
hoangyen16022004,4 Sao (8),"2024-02-24 11:18 | Phân loại hàng: Xám Đen,M","hoangyen160220042024-02-24 11:18 | Phân loại hàng: Xám Đen,Mhữu ích?báo cáo"
kieuanh400,4 Sao (8),"2024-01-28 16:42 | Phân loại hàng: Đen,L","kieuanh4002024-01-28 16:42 | Phân loại hàng: Đen,Lhữu ích?báo cáo"
hangbui563,4 Sao (8),"2024-01-17 11:40 | Phân loại hàng: Đen,XL","hangbui5632024-01-17 11:40 | Phân loại hàng: Đen,XLhữu ích?báo cáo"
h*****s,4 Sao (8),"2023-10-15 14:05 | Phân loại hàng: Xám Đen,XXL","h*****s2023-10-15 14:05 | Phân loại hàng: Xám Đen,XXLhữu ích?báo cáo"
vi_t_lan,3 Sao (3),"2024-04-10 23:57 | Phân loại hàng: Xám Đen,M","vi_t_lan2024-04-10 23:57 | Phân loại hàng: Xám Đen,MĐúng với mô tả: không giống hìnhQuần quá mỏng, không đứng form1báo cáo"
t*****u,3 Sao (3),"2023-10-07 20:32 | Phân loại hàng: Xám Đen,L","t*****u2023-10-07 20:32 | Phân loại hàng: Xám Đen,Lquần không giống mẫu mặc lắm, rộng thùng thình, mặc vào trông lùn hơnphản hồi của Người BánChào bạn quần là dạng culottes ống xuông rộng nên đương nhiên là rộng rồi ạ, bạn nên mix với áo croptop ôm mamg cạp cao, nếu dài quá bạn cắt lên xíu mang thêm giày cao nữa là quá xinh luôn ạ. Hàng bên mình bán đảm bảo chuẩn mẫu,chuẩn form ạ, khách mình cao m50 vẫn mamg được quần này đó ạ, cảm ơn bạn đã ủng hộ shophữu ích?báo cáo"
huyen.sdv,3 Sao (3),"2023-11-06 22:10 | Phân loại hàng: Xám Đen,M","huyen.sdv2023-11-06 22:10 | Phân loại hàng: Xám Đen,Mhữu ích?báo cáo"
quynhngoctran,1 Sao (3),"2024-01-15 08:50 | Phân loại hàng: Xám Đen,S","quynhngoctran2024-01-15 08:50 | Phân loại hàng: Xám Đen,SMua cái quần với giá này. Xong về tức kh ngủ được luôn á troief
Mua quần size s mà tưởng size xl. Quần này rộng chac 90kg còn vừaphản hồi của Người BánHi bạn, quần này là ống cullotes rộng nên ống sẽ xuông rộng, còn số đo từng size shop đã up trên bảng mô tả rồi, nếu khách mua không thấy vui lòng nhắn tin hoặc hỏi shop chứ tự động đặt size xong về đánh giá như này thì thực sự rất tội shop ạ 🥹hữu ích?báo cáo"
_ranqb65d1,1 Sao (3),"2024-01-21 18:38 | Phân loại hàng: Chun buộc tóc,S","_ranqb65d12024-01-21 18:38 | Phân loại hàng: Chun buộc tóc,SLên form bao xấu. Mặc vô mất cái thắt eo luôn! Nó suông đuộc như cái thun phi dị đó:))hữu ích?báo cáo"
ffjdxrrdz6,1 Sao (3),"2024-02-21 17:12 | Phân loại hàng: Áo Thun Đen,S","ffjdxrrdz62024-02-21 17:12 | Phân loại hàng: Áo Thun Đen,SGiao hàng k đủ số lượngphản hồi của Người BánChào bạn, bạn đặt áo shop giao đúng mẫu đúng số lượng rồi, mình nhắn tin không thấy bạn rep :((, mong b phản hồi shop ạhữu ích?báo cáo"
