User,rating,date,review
minhthuy1611_25,5 Sao (279),"2022-07-10 15:09 | Phân loại hàng: Đen,L","minhthuy1611_252022-07-10 15:09 | Phân loại hàng: Đen,LChất liệu: đúngMàu sắc: đẹpĐúng với mô tả: đẹpShiper thân thiện giao hàng nhanh.Local brand mới nên muốn đặt thử vải cotton 2 chiều khá ổn hình in cx đẹp có túi zip đàng hoàng nên có 1 cái trong tủ đồ nhé 0:24  hữu ích?báo cáo"
t*****2,5 Sao (279),"2021-12-16 20:06 | Phân loại hàng: Đen,M","t*****22021-12-16 20:06 | Phân loại hàng: Đen,MÁo xinh lắm luôn nha. Gói hàng kĩ và giao hàng nhanh. Vải áo cũng oke lắm. Lúc trước mình có mua 1 cái swe thì thấy chất vải khá giống chỉ là áo swe mềm hơn xíu. Một góp ý nho nhỏ shop nên bỏ giấy thơm vào nha sẽ làm áo thơm hơn. 0:04 hữu ích?báo cáo"
hungche123,5 Sao (279),"2021-11-27 18:18 | Phân loại hàng: Đen,M","hungche1232021-11-27 18:18 | Phân loại hàng: Đen,MMình nói thật .. shop này nhiệt tình , giao hàng nhanh , vải áo chất lượng , uy tín , rất ưng ý .. mong shop ra nhiều áo mẫu mã đẹp để mình ủng hộ shop tiếp 0:05 hữu ích?báo cáo"
m*****e,5 Sao (279),"2021-12-23 11:55 | Phân loại hàng: Đen,M","m*****e2021-12-23 11:55 | Phân loại hàng: Đen,Mthật sự là ưng quá luôn ý , chất cotton mặc mát , hình in sắc nét hong sợ bung đâu nhé . Tớ m55 nặng 40kg chọn size m là qua mông luôn , shop có kèm cả hộp , tư vấn siu nhanh siu đáng iu . với giá này thì hong có gì để chê cả . Nên mua mng nhéee 🥰 0:29    hữu ích?báo cáo"
minminminnnnn,5 Sao (279),"2021-12-31 15:22 | Phân loại hàng: Đen,M","minminminnnnn2021-12-31 15:22 | Phân loại hàng: Đen,MÁo xinh, đóng gói đẹp và cẩn thận nữa, shop CSKH rất nhiệt tình. Giá sp phù hợp. Chúc brand sẽ phát triển hơn và được nhiều ng biết đến hơn nữa⭐⭐⭐⭐⭐ 0:12   hữu ích?báo cáo"
phuongtrinh591,5 Sao (279),"2022-04-11 13:23 | Phân loại hàng: Đen,L","phuongtrinh5912022-04-11 13:23 | Phân loại hàng: Đen,LÁo mặc thích dã man, chất dày dặn form đẹp, tui 60kg mặc size L đẹp lắm 🤣 0:16  2báo cáo"
tranhongnhung01032002,5 Sao (279),"2021-11-18 18:26 | Phân loại hàng: Đen,L","tranhongnhung010320022021-11-18 18:26 | Phân loại hàng: Đen,LÁo đen thì rất ưng ý ạ, vải dày dặn, đường chỉ may đẹp, thích nhất phần chữ trên áo, sờ lên rất thích tay. Áo này cũng mua được giá sale nên rất vui ạ. Nói chung là không có gì không hài lòng về chiếc áo này !!!!!! 0:07 hữu ích?báo cáo"
c*****n,5 Sao (279),"2022-01-04 18:36 | Phân loại hàng: Đen,L","c*****n2022-01-04 18:36 | Phân loại hàng: Đen,LSản phẩm xịn xò lắm nha shop vải xịn với thoáng mát good chóp :>> 0:39   2báo cáo"
n*****4,5 Sao (279),"2022-02-09 12:14 | Phân loại hàng: Đen,L","n*****42022-02-09 12:14 | Phân loại hàng: Đen,LCam chụp xấu chứ chất vải siêu đỉnh luôn, vải cotton ý chất cũng dày kh mỏng, ncl local brand này okla 0:27     3báo cáo"
damngocvuong2002_12345,5 Sao (279),"2021-09-22 11:03 | Phân loại hàng: Đen,S","damngocvuong2002_123452021-09-22 11:03 | Phân loại hàng: Đen,SGiao hàng do dịch bệnh nên mất 7 ngày. Shop đóng gói cẩn thận, dễ thương. Chất áo khá tốt so với giá, k hẳn là cotton, chất vải dày, mặc mùa này oke. Đường may đẹp, in hình tốt. Sẽ tiếp tục ủng hộ. 0:19 hữu ích?báo cáo"
y*****4,5 Sao (279),"2022-01-13 17:37 | Phân loại hàng: Đen,L","y*****42022-01-13 17:37 | Phân loại hàng: Đen,LÁo đẹp lắmmm, vải đẹp mềm mại , hình in đẹp rất là ưng luôn đáng giá tiền 0:28 1báo cáo"
nhungsory,5 Sao (279),"2022-04-28 22:59 | Phân loại hàng: Đen,L","nhungsory2022-04-28 22:59 | Phân loại hàng: Đen,LChất áo mát và form áo đẹp lắm nhé mấy chế không mua phí lắm về cái bóc ra mặc luôn chất sang xịn mịn, đóng gói túi díp tiện 0:06  hữu ích?báo cáo"
m*****5,5 Sao (279),"2022-07-16 16:34 | Phân loại hàng: Đen,L","m*****52022-07-16 16:34 | Phân loại hàng: Đen,LÁo vải ổn nhưng hơi nóng, dáng áo đẹp.  T m62 58kg mặc size L vừa qua mông (như hình). T đặt từ ngày 13 đến 16 hàng giao tới nơi 0:05     hữu ích?báo cáo"
duongquocluong1981,5 Sao (279),"2022-02-13 19:59 | Phân loại hàng: Đen,L","duongquocluong19812022-02-13 19:59 | Phân loại hàng: Đen,LÁo xinh xỉuuu luôn ýyy
Đường may cẩn thận,chất áo siuuu mát
Shop đáng iuu gke còn tặng thêm tấm thẻ siu xinh nữa chứ :3
Lần sau sẽ mua típpp 😍😘 hữu ích?báo cáo"
linhlyhue13407lun,5 Sao (279),"2021-11-20 21:28 | Phân loại hàng: Đen,S","linhlyhue13407lun2021-11-20 21:28 | Phân loại hàng: Đen,SÁo rất đẹp chất liệu quá tốt luôn hình in thì khỏi phải bàn mặc dù hàng đến mới hơi bị móp méo nhưng shop đóng gói rất đẹp nhưng hơi tiếc vì mình đặt size hơi bị nhỏ nhưng rất nên mua nha   2báo cáo"
thu_phuong21,5 Sao (279),"2021-12-16 12:36 | Phân loại hàng: Đen,M","thu_phuong212021-12-16 12:36 | Phân loại hàng: Đen,MSp xinh xỉu chất dày hơn r , nhưng mà mình nghĩ size M to hơn xíu mà giờ như váy luôn mình m51, 39kg 0:04 hữu ích?báo cáo"
78phuongthao,5 Sao (279),"2022-06-24 12:09 | Phân loại hàng: Đen,M","78phuongthao2022-06-24 12:09 | Phân loại hàng: Đen,MHình in giống trong ảnh giao hàng rất nhanh đóng gói chắc chắn 0:09 1báo cáo"
pttnhu03,5 Sao (279),"2022-08-08 13:06 | Phân loại hàng: Đen,L","pttnhu032022-08-08 13:06 | Phân loại hàng: Đen,LChất liệu: cottonMàu sắc: đenĐúng với mô tả: đúng mô tảGiao hàng nhanh, hình ảnh mang tính chất kiếm xu, áo vải dày dặn đẹp 0:09hữu ích?báo cáo"
giaquyen3012,5 Sao (279),"2022-05-11 12:00 | Phân loại hàng: Đen,M","giaquyen30122022-05-11 12:00 | Phân loại hàng: Đen,MÁi vải đẹp.dày dặn.thun cotton nhe mn.giao hàng hơi lâu tí nhưng mà ổn 0:10 hữu ích?báo cáo"
d*****_,5 Sao (279),"2021-12-17 12:16 | Phân loại hàng: Đen,S","d*****_2021-12-17 12:16 | Phân loại hàng: Đen,SSản phẩm áo ổn. Box khi vận chuyển về bị móp các góc. Chất vải ổn nhìn có vẻ chất hơi cũ. Có dịp sẽ ủng hộ shop 0:07 hữu ích?báo cáo"
hieuminn_,5 Sao (279),"2023-04-06 22:43 | Phân loại hàng: Đen,M","hieuminn_2023-04-06 22:43 | Phân loại hàng: Đen,MVới giá này thì áo rất ok luôn đó ạ. Vải mềm, hình in đẹp. Mọi người ủng hộ shop nhé 0:29 hữu ích?báo cáo"
t*****d,5 Sao (279),"2022-04-13 19:46 | Phân loại hàng: Đen,M","t*****d2022-04-13 19:46 | Phân loại hàng: Đen,Mshop chuẩn bị hàng nhanh, 2 ngày là về từ hcm đến hà nội, đóng gói cũng tạm, chất áo tốt, hơi nóng khi hè, rất oke 0:04 1báo cáo"
n*****6,5 Sao (279),"2021-10-17 17:18 | Phân loại hàng: Đen,S","n*****62021-10-17 17:18 | Phân loại hàng: Đen,SÁo chất lượng tốt vải đẹp chủ shop dth lắm ạ :))) sẽ ủng hộ lâu dài 0:05 hữu ích?báo cáo"
