ID,product_link,product_name,product_price,product_rating,product_sales
1,https://shopee.vn/%C3%81o-ph%C3%B4ng-local-brand-ULZZ-ulzzang-cloud-astronaut-d%C3%A1ng-unisex-form-d%C3%A1ng-r%E1%BB%99ng-ch%E1%BA%A5t-v%E1%BA%A3i-cotton-m%C3%A1t-U-7-i.111783192.11511370759?sp_atk=3e821219-ba1c-447f-bdd9-856de378c2ea&xptdk=3e821219-ba1c-447f-bdd9-856de378c2ea,Áo phông local brand ULZZ ulzzang cloud astronaut dáng unisex form dáng rộng chất vải cotton mát U-7,169.0,4.8,"Đã bán 1,6k"
2,https://shopee.vn/%C3%81o-thun-local-brand-ULZZ-ulzzang-cloud-astronaut-d%C3%A1ng-unisex-tay-l%E1%BB%A1-white-fullbox-U-7-i.111783192.7091785168?sp_atk=69d2c937-6b0d-41a6-be2d-9ffe1923799b&xptdk=69d2c937-6b0d-41a6-be2d-9ffe1923799b,Áo thun local brand ULZZ ulzzang cloud astronaut dáng unisex tay lỡ - white fullbox U-7,159.0,4.9,Đã bán 10k
3,https://shopee.vn/%C3%81o-thun-unisex-local-brand-ULZZ-ulzzang-basic-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-i.111783192.5042053464?sp_atk=75bc63f5-e916-4bb1-a58f-dd4b26fee158&xptdk=75bc63f5-e916-4bb1-a58f-dd4b26fee158,Áo thun unisex local brand ULZZ ulzzang basic form dáng rộng tay lỡ,119.5,4.9,"Đã bán 2,3k"
4,https://shopee.vn/%C3%81o-ph%C3%B4ng-unisex-local-brand-ULZZ-ulzzang-slime-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-U-16-i.111783192.6892852180?sp_atk=1fd20105-2215-4be3-b31e-755dd479657a&xptdk=1fd20105-2215-4be3-b31e-755dd479657a,Áo phông unisex local brand ULZZ ulzzang slime form dáng rộng tay lỡ U-16,159.0,4.9,Đã bán 604
5,https://shopee.vn/%C3%81o-thun-unisex-local-brand-ULZZ-ulzzang-form-d%C3%A1ng-r%E1%BB%99ng-tay-l%E1%BB%A1-in-h%C3%ACnh-optimist-i.111783192.19872531963?sp_atk=f6f0317e-9d4e-4ce0-9475-bcf866c9514a&xptdk=f6f0317e-9d4e-4ce0-9475-bcf866c9514a,Áo thun unisex local brand ULZZ ulzzang form dáng rộng tay lỡ in hình optimist,159.0,4.8,Đã bán 120
6,https://shopee.vn/%C3%81o-thun-local-brand-ULZZ-Ulzzang-d%C3%A1ng-unisex-tay-l%E1%BB%A1-in-h%C3%ACnh-m%C3%A8o-sao-%C4%91%E1%BB%8F-i.111783192.24273135064?sp_atk=6d4f3693-7ea6-4e56-ba3c-315306ef52a4&xptdk=6d4f3693-7ea6-4e56-ba3c-315306ef52a4,Áo thun local brand ULZZ Ulzzang dáng unisex tay lỡ in hình mèo sao đỏ,129.5,,Đã bán 6
7,https://shopee.vn/%C3%81o-thun-local-brand-ULZZ-Ulzzang-d%C3%A1ng-unisex-tay-l%E1%BB%A1-in-h%C3%ACnh-c%C3%A0-ph%C3%AA-khum-i.111783192.25523124932?sp_atk=de047793-1ea3-4c05-9404-9f43c2bc6369&xptdk=de047793-1ea3-4c05-9404-9f43c2bc6369,Áo thun local brand ULZZ Ulzzang dáng unisex tay lỡ in hình cà phê khum,124.5,5.0,Đã bán 18
8,https://shopee.vn/%C3%81o-thun-tay-l%E1%BB%A1-ULZZANG-cotton-d%C3%A1ng-unisex-form-r%E1%BB%99ng-in-h%C3%ACnh-ulzz-club-i.111783192.26055510650?sp_atk=c2ccff2a-4632-4c9c-b797-685e555ad396&xptdk=c2ccff2a-4632-4c9c-b797-685e555ad396,Áo thun tay lỡ ULZZANG cotton dáng unisex form rộng in hình ulzz club,129.5,,Đã bán 1
9,https://shopee.vn/%C3%81o-thun-local-brand-ULZZANG-unisex-tay-l%E1%BB%A1-form-r%E1%BB%99ng-ch%E1%BA%A5t-v%E1%BA%A3i-cotton-m%E1%BB%81m-m%E1%BA%A1i-U-9-i.111783192.8666863964?sp_atk=b62cf311-aa79-44be-a91d-1f9efd37bb12&xptdk=b62cf311-aa79-44be-a91d-1f9efd37bb12,Áo thun local brand ULZZANG unisex tay lỡ form rộng chất vải cotton mềm mại U-9,159.0,4.8,"Đã bán 4,7k"
10,https://shopee.vn/%C3%81o-thun-tay-l%E1%BB%A1-ULZZANG-cotton-d%C3%A1ng-unisex-form-r%E1%BB%99ng-in-h%C3%ACnh-labubu-i.111783192.28605333405?sp_atk=8483b349-c037-43d3-9dca-00b61149e01a&xptdk=8483b349-c037-43d3-9dca-00b61149e01a,Áo thun tay lỡ ULZZANG cotton dáng unisex form rộng in hình labubu,129.5,5.0,Đã bán 3
